date,nav,scheme_code,daily_return
2023-03-02,109.447,119551,
2023-03-03,109.4874,119551,0.0003691284365947567
2023-03-06,109.5313,119551,0.00040095937980089147
2023-03-08,109.5103,119551,-0.00019172601804229306
2023-03-09,109.541,119551,0.00028033892702317154
2023-03-10,109.5769,119551,0.0003277311691511908
2023-03-13,109.7345,119551,0.0014382593411568223
2023-03-14,109.7889,119551,0.0004957419954527698
2023-03-15,109.8123,119551,0.00021313630066432943
2023-03-16,109.7988,119551,-0.00012293704803556516
2023-03-17,109.8366,119551,0.0003442660575525558
2023-03-20,109.9509,119551,0.0010406367276480921
2023-03-21,109.981,119551,0.00027375855950229067
2023-03-23,110.0625,119551,0.0007410370882243722
2023-03-24,110.0794,119551,0.0001535491198183525
2023-03-27,110.1469,119551,0.0006131937492390716
2023-03-28,110.1156,119551,-0.00028416596381741765
2023-03-29,110.2525,119551,0.0012432389234586783
2023-03-31,110.3887,119551,0.0012353461372758279
2023-04-03,110.4369,119551,0.0004366388951042577
2023-04-05,110.5493,119551,0.0010177757615434935
2023-04-06,110.7692,119551,0.0019891577784751924
2023-04-10,110.8339,119551,0.0005840973844715158
2023-04-11,110.847,119551,0.00011819488441711101
2023-04-12,110.9134,119551,0.0005990238797621839
2023-04-13,110.9273,119551,0.00012532299974576944
2023-04-17,110.9947,119551,0.00060760516121805
2023-04-18,111.029,119551,0.0003090237641978355
2023-04-19,111.0669,119551,0.0003413522593196383
2023-04-20,111.0695,119551,2.3409314566347206e-05
2023-04-21,111.1177,119551,0.0004339625189633267
2023-04-24,111.2444,119551,0.0011402323842195639
2023-04-25,111.2845,119551,0.0003604675830872761
2023-04-26,111.3157,119551,0.00028036249432772387
2023-04-27,111.3747,119551,0.0005300240666858969
2023-04-28,111.3814,119551,6.015728886366034e-05
2023-05-02,111.4551,119551,0.0006616903720011447
2023-05-03,111.534,119551,0.0007079083864265368
2023-05-04,111.556,119551,0.00019724926928099684
2023-05-08,111.6462,119551,0.0008085625156870613
2023-05-09,111.6494,119551,2.866196968653867e-05
2023-05-10,111.6632,119551,0.0001236012016185839
2023-05-11,111.6912,119551,0.0002507540532601382
2023-05-12,111.7357,119551,0.00039841992923350666
2023-05-15,111.8017,119551,0.0005906796126931013
2023-05-16,111.8439,119551,0.00037745401009114943
2023-05-17,111.8786,119551,0.0003102538448678249
2023-05-18,111.9625,119551,0.0007499200025742336
2023-05-19,111.9729,119551,9.288824383157923e-05
2023-05-22,112.1196,119551,0.001310138435282271
2023-05-23,112.1072,119551,-0.00011059618478836963
2023-05-24,112.1392,119551,0.0002854410778254657
2023-05-25,112.1468,119551,6.777291081072612e-05
2023-05-26,112.1609,119551,0.0001257280635738045
2023-05-29,112.1994,119551,0.00034325687472192
2023-05-30,112.2149,119551,0.00013814690631153148
2023-05-31,112.2328,119551,0.00015951535847724685
2023-06-01,112.3041,119551,0.0006352866541690094
2023-06-02,112.3136,119551,8.459174687280857e-05
2023-06-05,112.35,119551,0.0003240925408856121
2023-06-06,112.3976,119551,0.0004236760124611827
2023-06-07,112.4241,119551,0.00023577015879339136
2023-06-08,112.3995,119551,-0.0002188142933765569
2023-06-09,112.3662,119551,-0.00029626466309895516
2023-06-12,112.4181,119551,0.0004618826657838415
2023-06-13,112.4564,119551,0.00034069246856160973
2023-06-14,112.4522,119551,-3.734780768371859e-05
2023-06-15,112.4579,119551,5.0688203520943276e-05
2023-06-16,112.4688,119551,9.692516043791066e-05
2023-06-19,112.5427,119551,0.0006570711166118404
2023-06-20,112.5543,119551,0.00010307198956494013
2023-06-21,112.5483,119551,-5.33076035300617e-05
2023-06-22,112.5347,119551,-0.00012083700953280374
2023-06-23,112.5447,119551,8.886148005915473e-05
2023-06-26,112.5988,119551,0.0004806978915932181
2023-06-27,112.6073,119551,7.548925921052607e-05
2023-06-28,112.6521,119551,0.0003978427686306407
2023-06-30,112.6635,119551,0.00010119651564410859
2023-07-03,112.6779,119551,0.00012781424329966207
2023-07-04,112.7332,119551,0.00049077946962095
2023-07-05,112.7734,119551,0.0003565941532750472
2023-07-06,112.7607,119551,-0.00011261520890559762
2023-07-07,112.7417,119551,-0.00016849842187927067
2023-07-10,112.7947,119551,0.00047010112496104206
2023-07-11,112.879,119551,0.0007473755415812189
2023-07-12,112.8785,119551,-4.429521877402642e-06
2023-07-13,112.9794,119551,0.0008938814743284507
2023-07-14,113.0224,119551,0.0003806003572333072
2023-07-17,113.0933,119551,0.0006273092767450361
2023-07-18,113.1539,119551,0.0005358407615658756
2023-07-19,113.185,119551,0.00027484691203749634
2023-07-20,113.2135,119551,0.0002518001501965461
2023-07-21,113.1867,119551,-0.00023672088575998895
2023-07-24,113.252,119551,0.0005769229070198278
2023-07-25,113.2068,119551,-0.00039910994949310385
2023-07-26,113.25,119551,0.0003816025185765515
2023-07-27,113.302,119551,0.0004591611479030089
2023-07-28,113.2233,119551,-0.0006946038022277445
2023-07-31,113.2955,119551,0.0006376779337822214
2023-08-01,113.3502,119551,0.0004828082315713189
2023-08-02,113.371,119551,0.00018350210233419872
2023-08-03,113.3366,119551,-0.00030342856638809756
2023-08-04,113.3024,119551,-0.00030175600820914195
2023-08-07,113.4145,119551,0.0009893876916993172
2023-08-08,113.4097,119551,-4.232263070425013e-05
2023-08-09,113.4446,119551,0.00030773381818294254
2023-08-10,113.4695,119551,0.0002194903944303661
2023-08-11,113.4328,119551,-0.0003234349318539387
2023-08-14,113.4717,119551,0.00034293431882126413
2023-08-17,113.448,119551,-0.0002088626503349289
2023-08-18,113.5055,119551,0.000506840138213116
2023-08-21,113.5726,119551,0.0005911607807551622
2023-08-22,113.5608,119551,-0.00010389829941370721
2023-08-23,113.6358,119551,0.0006604391656275244
2023-08-24,113.6982,119551,0.0005491227236487095
2023-08-25,113.708,119551,8.61930971642888e-05
2023-08-28,113.8221,119551,0.0010034474267421878
2023-08-29,113.8467,119551,0.00021612674515747443
2023-08-30,113.8834,119551,0.0003223633183921937
2023-08-31,113.9005,119551,0.00015015357813341623
2023-09-01,113.9205,119551,0.00017559185429405488
2023-09-04,113.9843,119551,0.00056003967679219
2023-09-05,113.9984,119551,0.00012370124657512527
2023-09-06,113.9571,119551,-0.0003622857864672424
2023-09-07,114.0437,119551,0.0007599350983835684
2023-09-08,114.0015,119551,-0.0003700335923861875
2023-09-11,114.0239,119551,0.00019648864269328215
2023-09-12,114.0096,119551,-0.0001254123039116095
2023-09-13,114.1471,119551,0.0012060387897159242
2023-09-14,114.2468,119551,0.000873434366707615
2023-09-15,114.1634,119551,-0.0007299985645111695
2023-09-18,114.2257,119551,0.0005457090451055358
2023-09-20,114.3068,119551,0.0007099978376143845
2023-09-21,114.3346,119551,0.00024320512865383392
2023-09-22,114.3437,119551,7.959095496912205e-05
2023-09-25,114.3926,119551,0.0004276580170137212
2023-09-26,114.3858,119551,-5.944440462057887e-05
2023-09-27,114.4022,119551,0.00014337443983425402
2023-09-29,114.3746,119551,-0.00024125410175668272
2023-10-03,114.4257,119551,0.0004467775187848577
2023-10-04,114.4301,119551,3.845290000392687e-05
2023-10-05,114.5152,119551,0.0007436854463991338
2023-10-06,114.2282,119551,-0.002506217515229392
2023-10-09,114.2335,119551,4.639834996966741e-05
2023-10-10,114.2773,119551,0.00038342517737777193
2023-10-11,114.3772,119551,0.0008741893621917463
2023-10-12,114.4277,119551,0.0004415215619897328
2023-10-13,114.4576,119551,0.00026130036695648506
2023-10-16,114.515,119551,0.0005014957503914896
2023-10-17,114.5336,119551,0.00016242413657607813
2023-10-18,114.5264,119551,-6.286364874596995e-05
2023-10-19,114.5085,119551,-0.0001562958409588866
2023-10-20,114.5203,119551,0.00010304911862446531
2023-10-23,114.5561,119551,0.0003126083323217177
2023-10-25,114.6385,119551,0.000719298230299259
2023-10-26,114.6543,119551,0.00013782455283362083
2023-10-27,114.6755,119551,0.00018490366257517543
2023-10-30,114.7213,119551,0.000399387837855425
2023-10-31,114.7532,119551,0.00027806518928930046
2023-11-01,114.7619,119551,7.581487923635777e-05
2023-11-02,114.8598,119551,0.000853070574816206
2023-11-03,114.9185,119551,0.0005110578287614853
2023-11-06,114.9939,119551,0.0006561171612926575
2023-11-07,115.0481,119551,0.000471329348774141
2023-11-08,115.097,119551,0.000425039613865863
2023-11-09,115.1482,119551,0.00044484217659901404
2023-11-10,115.1099,119551,-0.00033261483896407373
2023-11-13,115.1762,119551,0.0005759713108950404
2023-11-15,115.3184,119551,0.0012346300711432168
2023-11-16,115.359,119551,0.0003520687071620898
2023-11-17,115.4046,119551,0.0003952877538815347
2023-11-20,115.4124,119551,6.758829370756558e-05
2023-11-21,115.3462,119551,-0.0005735952116064924
2023-11-22,115.3956,119551,0.00042827592066330133
2023-11-23,115.3838,119551,-0.00010225693180687667
2023-11-24,115.3487,119551,-0.00030420214969517634
2023-11-28,115.4606,119551,0.000970101960403591
2023-11-29,115.5248,119551,0.0005560338331864756
2023-11-30,115.5118,119551,-0.0001125299502791055
2023-12-01,115.4928,119551,-0.00016448535993718316
2023-12-04,115.5786,119551,0.0007429034537216328
2023-12-05,115.6087,119551,0.000260428833711579
2023-12-06,115.6714,119551,0.0005423467265006643
2023-12-07,115.7012,119551,0.00025762634497383807
2023-12-08,115.6975,119551,-3.1978925024045424e-05
2023-12-11,115.7213,119551,0.00020570885282733542
2023-12-12,115.7387,119551,0.0001503612558793055
2023-12-13,115.7767,119551,0.00032832578904029575
2023-12-14,115.9449,119551,0.001452796633519604
2023-12-15,116.0675,119551,0.0010573988161617365
2023-12-18,116.1498,119551,0.0007090701531435872
2023-12-19,116.146,119551,-3.271637144441897e-05
2023-12-20,116.1637,119551,0.00015239440015157868
2023-12-21,116.1666,119551,2.4964769544943977e-05
